Airline,Origin,Destination,Date,Departure Time,Arrival Time,Cabin Class,Flight Duration (hrs),Price (USD)
Lufthansa,JFK,YYZ,2024-09-18,08:14,00:54,First,8.17,938.38
Delta,ATL,JFK,2024-09-14,21:53,18:30,First,8.25,3610.24
Delta,SFO,FRA,2024-09-18,05:53,12:35,Economy,5.45,1189.12
United,SFO,LAX,2024-09-14,05:00,20:14,First,9.75,743.84
American Airlines,JFK,FRA,2024-09-14,18:27,11:02,First,9.83,2362.62
Delta,ORD,YVR,2024-09-17,18:02,00:43,First,5.24,2494.27
Delta,MUC,DFW,2024-09-15,15:48,05:10,First,2.4,5824.57
Lufthansa,LAX,JFK,2024-09-16,15:50,13:53,Business,4.38,3383.77
Air Canada,LAX,FRA,2024-09-18,03:28,23:19,Business,8.76,3523.4
Delta,YVR,DFW,2024-09-17,23:16,02:01,First,6.36,3712.96
United,YVR,LAX,2024-09-18,18:44,18:05,Business,5.71,2388.51
United,DFW,MUC,2024-09-13,13:15,14:53,Business,3.73,769.62
American Airlines,ATL,YYZ,2024-09-17,21:06,18:57,Business,5.74,3611.2
Delta,MUC,SFO,2024-09-13,03:36,10:53,First,7.68,4989.99
American Airlines,LAX,SFO,2024-09-16,05:58,06:45,First,5.29,5117.87
Delta,FRA,LAX,2024-09-15,11:26,09:11,Economy,3.55,619.88
Delta,FRA,LAX,2024-09-15,03:14,01:29,First,1.85,6243.42
Air Canada,LAX,DFW,2024-09-17,09:42,07:59,First,11.41,5889.52
United,ATL,ORD,2024-09-15,00:43,11:56,Business,5.54,1252.26
Delta,ATL,FRA,2024-09-14,03:51,05:15,First,1.68,2672.11
American Airlines,MUC,YYZ,2024-09-17,18:51,02:30,Business,10.57,1102.44
Delta,MUC,ATL,2024-09-15,10:38,11:08,First,2.91,4246.11
Delta,MUC,ATL,2024-09-12,19:34,08:58,Business,11.11,4214.64
American Airlines,LAX,FRA,2024-09-18,22:44,08:46,Business,9.8,3902.0
Air Canada,LAX,FRA,2024-09-17,13:27,02:03,Business,2.77,2638.35
Lufthansa,YVR,FRA,2024-09-18,22:35,17:36,Economy,3.06,123.85
Air Canada,ATL,LAX,2024-09-17,20:35,06:33,Economy,3.78,1735.56
United,YVR,MUC,2024-09-13,14:28,13:52,Economy,2.14,1275.74
United,YYZ,JFK,2024-09-13,16:38,22:50,First,4.57,906.69
Lufthansa,DFW,ORD,2024-09-17,17:38,15:15,Business,9.89,3007.24
Delta,LAX,MUC,2024-09-18,11:24,21:26,Business,11.58,4148.67
American Airlines,YVR,ATL,2024-09-16,12:51,21:57,Economy,6.03,1523.29
Delta,ORD,LAX,2024-09-14,00:53,18:59,Business,5.77,801.68
United,DFW,ATL,2024-09-12,18:51,02:31,Economy,2.78,449.13
United,ORD,YVR,2024-09-14,09:18,06:17,Economy,9.91,708.6
Delta,MUC,ATL,2024-09-18,21:32,04:45,First,1.67,2559.13
American Airlines,LAX,ATL,2024-09-18,01:16,09:27,First,8.04,1895.19
Lufthansa,ORD,FRA,2024-09-18,04:56,23:19,Economy,3.97,883.22
Delta,ATL,YVR,2024-09-17,18:11,02:44,First,11.24,2134.06
Delta,LAX,ATL,2024-09-18,20:36,12:31,Business,6.01,3350.22
American Airlines,LAX,DFW,2024-09-15,01:48,03:35,First,10.08,3019.56
United,JFK,LAX,2024-09-12,04:35,06:58,Business,11.03,1597.32
United,ATL,DFW,2024-09-18,07:48,02:12,Business,6.14,627.74
Delta,FRA,YYZ,2024-09-16,09:40,03:23,Business,10.32,3541.42
Air Canada,SFO,FRA,2024-09-14,13:04,06:37,Economy,4.87,1131.91
United,YYZ,YVR,2024-09-13,11:30,10:10,First,4.4,1884.5
United,LAX,FRA,2024-09-17,15:14,13:51,First,11.19,5248.99
Lufthansa,ORD,MUC,2024-09-17,06:31,02:41,Business,3.02,459.02
American Airlines,LAX,MUC,2024-09-17,09:38,19:33,Business,3.32,874.66
Delta,ATL,SFO,2024-09-16,17:21,07:03,Economy,5.67,1548.78
United,DFW,SFO,2024-09-15,17:28,14:06,First,4.85,919.29
Air Canada,DFW,SFO,2024-09-13,03:53,14:32,First,11.5,530.41
Lufthansa,LAX,JFK,2024-09-14,01:22,15:03,Business,8.96,2936.1
Lufthansa,YVR,ORD,2024-09-18,11:28,23:28,First,9.69,5476.58
United,LAX,YVR,2024-09-15,21:34,07:43,Economy,4.65,1599.11
Delta,DFW,ORD,2024-09-17,13:10,22:41,Economy,9.64,1610.64
American Airlines,DFW,JFK,2024-09-16,23:53,14:05,Business,7.17,2202.43
Delta,YVR,MUC,2024-09-15,01:23,07:43,First,4.52,4990.78
Air Canada,FRA,SFO,2024-09-15,08:27,03:18,First,6.9,2118.09
United,FRA,ATL,2024-09-12,17:21,07:34,First,1.65,2795.23
Delta,SFO,MUC,2024-09-14,06:53,14:16,Economy,1.06,1645.15
United,FRA,ATL,2024-09-13,19:39,12:22,First,1.23,1891.71
United,YVR,JFK,2024-09-15,01:49,10:07,Economy,4.49,1879.39
Air Canada,ATL,YVR,2024-09-14,08:07,08:59,First,8.9,1000.11
United,ATL,JFK,2024-09-18,20:30,12:18,First,4.78,5893.28
Air Canada,JFK,MUC,2024-09-13,13:54,11:09,First,9.82,2568.31
Lufthansa,DFW,ATL,2024-09-12,03:49,12:06,Economy,5.31,329.14
American Airlines,LAX,JFK,2024-09-15,07:59,17:33,First,7.99,5626.19
Lufthansa,ATL,FRA,2024-09-18,00:37,19:33,First,10.1,2915.18
American Airlines,ATL,MUC,2024-09-15,05:41,23:12,First,4.01,3805.03
Lufthansa,LAX,JFK,2024-09-12,13:22,16:57,Business,8.32,824.3
Lufthansa,SFO,DFW,2024-09-15,21:40,09:11,Economy,6.31,1790.46
American Airlines,LAX,YYZ,2024-09-16,15:38,05:11,First,9.78,323.36
American Airlines,JFK,FRA,2024-09-17,18:00,18:00,Business,2.23,237.12
Delta,YVR,ORD,2024-09-13,19:43,10:25,Business,6.65,3716.0
United,FRA,JFK,2024-09-13,08:07,20:52,First,3.88,1731.2
Lufthansa,LAX,DFW,2024-09-14,13:07,00:32,Economy,10.92,391.32
Air Canada,FRA,ORD,2024-09-17,01:20,13:13,Business,4.26,3752.56
Lufthansa,YVR,ATL,2024-09-16,12:07,10:04,Business,1.82,4100.36
United,MUC,SFO,2024-09-17,09:49,03:23,Business,6.49,3522.12
American Airlines,SFO,YYZ,2024-09-18,07:41,00:47,Business,3.86,739.48
American Airlines,LAX,YYZ,2024-09-14,09:15,15:37,Economy,11.87,1583.28
Lufthansa,FRA,ORD,2024-09-12,14:49,10:58,Business,8.24,1446.03
United,YYZ,MUC,2024-09-17,02:49,06:40,Economy,10.82,240.1
Air Canada,YYZ,DFW,2024-09-12,13:48,06:17,Business,11.21,1827.37
Lufthansa,MUC,LAX,2024-09-17,01:49,18:12,Business,9.88,1221.3
Air Canada,ORD,JFK,2024-09-16,05:19,04:09,Business,4.88,909.21
Lufthansa,MUC,SFO,2024-09-13,21:00,03:07,Economy,2.1,367.99
Delta,FRA,MUC,2024-09-18,00:15,11:31,First,5.29,3097.6
United,JFK,LAX,2024-09-15,10:55,12:28,Business,3.83,2873.84
United,JFK,DFW,2024-09-16,12:26,04:20,Economy,6.46,807.08
Lufthansa,FRA,SFO,2024-09-13,23:05,06:55,Business,3.8,1087.21
Air Canada,LAX,JFK,2024-09-18,03:33,22:18,First,3.88,2340.07
Lufthansa,FRA,YVR,2024-09-18,23:14,03:01,Economy,1.23,717.0
Delta,DFW,ATL,2024-09-15,10:46,06:04,Economy,9.96,1677.85
Lufthansa,LAX,MUC,2024-09-17,07:04,01:38,Economy,11.6,429.65
Lufthansa,YVR,JFK,2024-09-16,10:21,09:46,Economy,6.75,1944.38
Delta,MUC,DFW,2024-09-13,00:33,19:19,Business,4.24,939.79
United,YYZ,MUC,2024-09-16,11:03,20:35,Economy,8.37,525.52
United,ORD,FRA,2024-09-17,22:33,20:53,Economy,3.14,1147.97
United,LAX,FRA,2024-09-12,09:19,16:04,First,10.93,3094.2
Lufthansa,ORD,ATL,2024-09-16,09:56,05:27,First,5.98,5724.88
Lufthansa,DFW,YVR,2024-09-14,11:44,04:49,Economy,5.17,492.55
United,SFO,YVR,2024-09-13,19:15,03:55,Economy,6.7,599.11
United,SFO,YVR,2024-09-15,12:21,04:25,First,9.13,1018.92
Lufthansa,YVR,ATL,2024-09-12,04:48,06:50,Business,10.23,1313.7
United,ATL,SFO,2024-09-16,11:25,17:47,Business,1.73,3074.06
Lufthansa,ATL,FRA,2024-09-18,19:38,02:37,First,1.39,5759.21
American Airlines,MUC,LAX,2024-09-14,22:01,14:47,Business,11.85,3997.9
United,SFO,ATL,2024-09-12,21:03,09:50,Economy,3.41,224.77
United,LAX,YYZ,2024-09-14,06:21,04:12,First,10.44,444.99
American Airlines,YYZ,ATL,2024-09-13,03:55,00:28,First,8.51,2819.17
United,ORD,LAX,2024-09-18,17:39,00:22,First,6.23,1891.97
Lufthansa,ATL,LAX,2024-09-14,21:08,20:34,First,5.29,1056.02
United,FRA,ORD,2024-09-16,16:21,13:40,Business,1.41,2211.87
Air Canada,JFK,SFO,2024-09-18,21:23,09:09,Business,4.7,959.29
United,SFO,DFW,2024-09-15,19:46,05:01,First,2.58,1020.96
Lufthansa,JFK,MUC,2024-09-18,14:44,23:50,Economy,6.83,1864.49
Air Canada,ATL,YVR,2024-09-18,14:39,10:57,Economy,9.74,1926.09
Air Canada,LAX,MUC,2024-09-17,23:18,08:03,First,11.82,3344.52
Lufthansa,JFK,ATL,2024-09-17,16:57,12:10,First,1.84,3354.45
United,JFK,LAX,2024-09-13,14:11,12:38,Business,2.72,3810.21
American Airlines,FRA,DFW,2024-09-17,10:40,17:25,First,3.75,4326.66
United,DFW,YYZ,2024-09-13,05:40,23:06,Business,3.57,3811.89
United,ATL,FRA,2024-09-12,16:55,06:37,Business,6.87,3111.99
United,ORD,MUC,2024-09-15,23:44,00:49,Business,7.79,1247.66
Delta,YVR,ATL,2024-09-16,08:45,07:04,First,9.37,4170.4
American Airlines,SFO,YVR,2024-09-17,19:40,20:21,Business,6.56,1919.26
United,YYZ,MUC,2024-09-18,02:36,12:01,First,2.96,4632.81
United,ORD,LAX,2024-09-15,19:41,16:42,Economy,1.63,1904.96
Lufthansa,LAX,FRA,2024-09-17,17:39,13:53,Business,11.7,1946.61
United,YVR,DFW,2024-09-13,19:17,06:52,Business,8.45,1617.23
American Airlines,MUC,ATL,2024-09-13,20:15,07:32,Business,7.91,1782.05
Delta,FRA,DFW,2024-09-18,18:55,01:46,First,6.45,6089.17
Lufthansa,YVR,JFK,2024-09-15,01:02,09:02,First,1.43,592.29
United,SFO,ORD,2024-09-12,21:44,00:00,Business,10.21,248.73
Lufthansa,MUC,DFW,2024-09-14,08:53,11:04,First,2.94,856.84
Lufthansa,SFO,DFW,2024-09-18,09:40,01:02,Economy,1.08,947.36
Air Canada,MUC,ORD,2024-09-14,16:18,22:35,First,8.15,5030.06
United,JFK,ORD,2024-09-17,10:53,20:55,First,10.94,5648.86
Delta,JFK,YVR,2024-09-13,15:47,23:48,Economy,2.27,1701.74
Air Canada,DFW,FRA,2024-09-13,13:44,16:55,Economy,7.76,1536.41
Lufthansa,ORD,MUC,2024-09-14,03:04,18:59,Business,8.71,386.39
United,JFK,ORD,2024-09-14,03:29,18:47,Economy,11.93,790.25
Air Canada,YYZ,JFK,2024-09-12,19:32,15:46,Economy,10.79,254.62
United,JFK,YVR,2024-09-17,08:46,22:14,First,8.77,3831.37
Lufthansa,ORD,FRA,2024-09-18,02:40,03:18,Business,4.71,2535.68
Lufthansa,JFK,YVR,2024-09-13,11:46,05:04,Economy,3.76,615.17
American Airlines,SFO,YYZ,2024-09-17,00:36,12:00,First,2.99,1992.38
Lufthansa,FRA,ORD,2024-09-15,07:21,09:38,Economy,3.09,1479.68
United,ATL,LAX,2024-09-16,07:29,05:25,Business,6.17,522.55
Delta,JFK,SFO,2024-09-17,17:17,10:56,First,5.53,5944.0
Lufthansa,ATL,FRA,2024-09-16,01:28,15:02,First,6.27,5651.71
American Airlines,FRA,JFK,2024-09-15,07:21,13:55,Economy,5.09,1766.81
American Airlines,YVR,ORD,2024-09-13,03:56,23:47,Economy,9.85,640.47
Air Canada,ORD,MUC,2024-09-12,19:25,07:20,First,3.18,514.66
Delta,SFO,JFK,2024-09-17,07:50,17:06,First,10.32,6120.61
American Airlines,FRA,ATL,2024-09-13,00:29,09:01,First,7.32,4950.95
United,ORD,LAX,2024-09-15,17:32,05:11,Business,1.97,3574.91
Air Canada,FRA,YYZ,2024-09-14,07:02,13:04,Economy,3.15,693.92
Air Canada,SFO,DFW,2024-09-15,09:14,22:41,Business,11.32,2536.57
Delta,SFO,YVR,2024-09-12,18:10,06:03,Business,11.3,1391.42
Delta,ATL,LAX,2024-09-15,02:53,10:29,First,6.77,994.42
United,LAX,YVR,2024-09-12,06:27,13:56,First,2.95,1854.48
Delta,DFW,ORD,2024-09-17,04:02,03:23,Business,9.16,3701.8
American Airlines,ORD,FRA,2024-09-15,00:47,08:32,First,5.29,5019.11
American Airlines,ATL,LAX,2024-09-18,08:41,04:53,Economy,11.38,792.97
Lufthansa,FRA,MUC,2024-09-14,07:34,13:54,Economy,9.41,1862.23
Air Canada,YYZ,YVR,2024-09-15,12:07,14:23,Economy,3.84,1712.76
American Airlines,LAX,MUC,2024-09-16,03:49,06:24,Economy,4.65,1209.32
Delta,FRA,DFW,2024-09-16,03:04,21:29,Economy,2.9,1155.98
Air Canada,DFW,YYZ,2024-09-16,20:52,20:38,Business,1.14,3885.75
Lufthansa,YVR,JFK,2024-09-15,02:47,22:48,Business,7.08,2407.19
Air Canada,JFK,SFO,2024-09-14,19:07,01:06,Economy,1.25,1630.45
Lufthansa,FRA,JFK,2024-09-14,22:33,11:25,First,10.42,835.01
American Airlines,YYZ,ORD,2024-09-15,12:03,20:33,First,7.68,5340.03
Delta,JFK,YYZ,2024-09-14,16:07,04:15,Economy,5.31,650.26
United,MUC,ORD,2024-09-16,10:38,15:49,Economy,7.3,1156.38
United,FRA,ATL,2024-09-14,08:27,18:05,Economy,7.95,1813.18
Delta,ATL,SFO,2024-09-18,14:18,14:11,First,8.67,4460.91
Lufthansa,SFO,MUC,2024-09-15,10:15,21:09,Economy,7.05,448.08
American Airlines,SFO,MUC,2024-09-18,10:46,01:27,Business,7.68,3591.18
Lufthansa,MUC,YVR,2024-09-16,22:08,09:55,Business,8.29,2287.94
American Airlines,FRA,ORD,2024-09-16,04:11,02:34,Business,4.49,3976.58
United,DFW,SFO,2024-09-17,20:13,14:09,First,3.6,3915.72
Delta,MUC,ORD,2024-09-16,21:51,07:02,Business,8.19,2880.03
American Airlines,FRA,ORD,2024-09-18,11:50,10:12,Economy,1.6,158.68
United,DFW,ORD,2024-09-12,20:26,20:32,First,10.56,3238.72
United,JFK,SFO,2024-09-15,07:12,23:11,First,3.72,5405.31
American Airlines,YYZ,ORD,2024-09-16,18:31,02:01,First,3.87,1870.01
Air Canada,YVR,ATL,2024-09-18,15:03,02:32,First,10.5,2349.09
Air Canada,SFO,FRA,2024-09-13,19:18,12:06,Business,10.64,3115.85
United,ORD,ATL,2024-09-15,08:12,06:08,Economy,8.15,888.75
United,YVR,YYZ,2024-09-16,19:03,18:27,First,5.99,1284.74
Delta,LAX,SFO,2024-09-12,13:56,11:55,First,3.51,1926.06
United,ORD,FRA,2024-09-12,08:56,12:14,First,5.07,2969.9
Delta,LAX,SFO,2024-09-12,09:02,15:49,Business,4.59,997.17
Delta,FRA,JFK,2024-09-13,17:17,00:08,Economy,2.27,1487.76
Delta,ATL,MUC,2024-09-16,02:01,03:49,Economy,11.72,1262.98
American Airlines,ATL,FRA,2024-09-12,17:43,19:13,Economy,5.69,1177.5
Air Canada,ATL,ORD,2024-09-12,08:27,07:31,First,5.35,3468.27
Lufthansa,DFW,LAX,2024-09-15,18:20,09:08,Economy,5.53,566.26
Delta,ATL,FRA,2024-09-14,02:49,05:22,Economy,7.89,1488.99
Lufthansa,YVR,FRA,2024-09-15,12:24,01:56,Economy,11.03,699.39
Delta,LAX,MUC,2024-09-18,03:12,15:41,Economy,9.91,1934.03
United,DFW,JFK,2024-09-16,13:55,17:36,Business,10.85,504.71
Delta,JFK,DFW,2024-09-15,10:28,15:18,First,9.09,4887.09
Lufthansa,MUC,YYZ,2024-09-12,16:01,04:13,First,2.4,1450.37
Delta,LAX,FRA,2024-09-14,12:37,13:36,Economy,4.02,1638.91
Delta,JFK,ATL,2024-09-18,17:08,19:48,Economy,2.15,2012.45
United,ATL,DFW,2024-09-15,09:03,14:48,First,6.53,5550.28
United,SFO,YYZ,2024-09-13,01:55,05:48,First,10.08,1382.92
Air Canada,ORD,YYZ,2024-09-12,00:57,00:08,Economy,7.68,101.27
Lufthansa,JFK,YYZ,2024-09-17,21:47,14:17,Business,11.66,1736.46
American Airlines,SFO,DFW,2024-09-14,08:30,06:50,First,9.53,5383.3
American Airlines,MUC,LAX,2024-09-16,20:49,02:22,Business,4.35,2940.0
Lufthansa,ATL,LAX,2024-09-18,18:24,10:01,First,2.17,3076.34
United,YYZ,LAX,2024-09-17,16:22,00:41,First,3.7,3597.97
Delta,YYZ,MUC,2024-09-18,19:09,08:38,Business,8.14,2729.53
Air Canada,DFW,SFO,2024-09-13,16:41,06:36,Business,9.61,2781.23
Air Canada,ATL,YVR,2024-09-17,13:55,06:24,First,11.31,3117.7
United,JFK,YYZ,2024-09-13,15:52,06:22,First,7.86,3228.52
Delta,SFO,JFK,2024-09-18,22:33,22:34,Business,1.71,1979.45
Air Canada,LAX,FRA,2024-09-16,00:04,07:52,Economy,7.87,243.52
American Airlines,SFO,JFK,2024-09-17,10:48,14:23,First,2.67,2491.92
American Airlines,ORD,LAX,2024-09-15,05:30,12:39,First,7.12,5782.73
Delta,ORD,FRA,2024-09-17,07:44,01:27,Business,7.7,4019.76
Air Canada,FRA,MUC,2024-09-12,22:11,13:43,First,10.48,1680.24
Delta,DFW,ATL,2024-09-12,01:40,10:33,Economy,9.22,1251.69
Delta,MUC,FRA,2024-09-15,14:54,22:10,First,8.06,388.85
Lufthansa,YYZ,DFW,2024-09-16,11:13,18:27,First,1.25,3319.33
Lufthansa,MUC,LAX,2024-09-15,04:50,06:11,Economy,5.06,2174.21
Lufthansa,LAX,ATL,2024-09-15,04:18,17:30,Business,7.85,2174.34
American Airlines,ATL,ORD,2024-09-16,01:04,02:22,First,5.52,4864.85
United,MUC,FRA,2024-09-14,14:54,22:49,First,9.66,1674.82
American Airlines,ORD,LAX,2024-09-15,05:19,22:56,First,2.08,1238.91
American Airlines,MUC,SFO,2024-09-13,21:55,13:08,Business,5.55,2142.81
Delta,ORD,FRA,2024-09-15,17:19,15:54,Business,8.82,2579.29
Air Canada,YVR,MUC,2024-09-12,11:08,06:14,First,7.68,2589.72
Delta,ATL,FRA,2024-09-17,08:55,21:08,Economy,10.58,950.66
American Airlines,ATL,ORD,2024-09-13,07:20,19:09,Economy,8.85,157.92
Air Canada,SFO,YYZ,2024-09-12,22:26,04:02,Business,4.94,3711.24
Lufthansa,MUC,ATL,2024-09-14,14:56,02:46,Business,9.01,1893.46
Air Canada,YVR,DFW,2024-09-17,20:12,13:20,Business,9.23,1860.85
Delta,MUC,YYZ,2024-09-14,06:07,18:00,Economy,2.17,2018.98
United,LAX,YVR,2024-09-17,22:07,00:56,First,1.01,3138.36
United,SFO,MUC,2024-09-18,18:53,03:13,Business,7.93,817.48
American Airlines,DFW,SFO,2024-09-14,07:38,02:28,Business,5.15,492.83
Lufthansa,YYZ,LAX,2024-09-16,06:37,07:44,Business,1.05,4149.73
Air Canada,ATL,ORD,2024-09-12,16:43,21:00,Economy,3.47,196.96
Lufthansa,ATL,FRA,2024-09-12,10:06,10:31,Economy,2.71,569.01
Delta,DFW,LAX,2024-09-12,14:08,07:16,First,5.31,2958.01
Delta,YYZ,YVR,2024-09-12,08:01,22:55,Business,3.01,2706.98
United,ORD,LAX,2024-09-18,15:00,23:59,Economy,2.76,1511.33
Air Canada,ATL,JFK,2024-09-13,15:10,05:16,First,9.07,3057.41
Air Canada,LAX,ORD,2024-09-17,21:39,14:07,Business,9.87,283.81
United,FRA,ORD,2024-09-17,05:37,12:48,Economy,10.42,1423.59
Lufthansa,FRA,DFW,2024-09-14,09:50,11:54,Economy,10.02,557.1
American Airlines,LAX,FRA,2024-09-12,20:34,12:16,Economy,1.86,1327.83
United,MUC,SFO,2024-09-17,16:47,13:18,Business,5.25,1197.62
Lufthansa,ATL,YVR,2024-09-13,01:23,00:37,Economy,8.85,967.56
Lufthansa,ORD,YYZ,2024-09-16,04:06,12:32,Economy,6.37,1383.27
American Airlines,LAX,YVR,2024-09-16,18:40,12:06,First,11.17,2918.42
Lufthansa,DFW,YYZ,2024-09-12,16:14,03:29,Economy,2.93,321.46
United,LAX,YYZ,2024-09-17,16:19,01:29,First,10.27,1174.37
American Airlines,FRA,MUC,2024-09-15,11:24,20:19,Business,3.78,3432.65
United,LAX,JFK,2024-09-17,13:16,04:53,Business,10.37,2375.82
American Airlines,DFW,MUC,2024-09-14,03:42,03:07,Economy,6.06,966.19
Air Canada,MUC,DFW,2024-09-16,22:36,17:47,Business,8.08,3611.17
United,MUC,SFO,2024-09-18,07:53,21:07,Economy,10.96,1520.79
Lufthansa,ORD,MUC,2024-09-16,17:13,10:57,Economy,10.34,2136.07
Lufthansa,YYZ,LAX,2024-09-18,13:05,20:53,Economy,11.72,347.7
Air Canada,MUC,ORD,2024-09-18,10:58,00:09,First,5.37,4554.31
American Airlines,DFW,ATL,2024-09-12,17:26,17:11,First,5.21,4942.39
American Airlines,YVR,DFW,2024-09-18,12:07,19:23,First,9.71,3622.83
United,DFW,MUC,2024-09-18,02:49,09:52,Business,11.27,2523.71
Delta,DFW,MUC,2024-09-14,20:09,09:22,Economy,10.63,1684.81
Air Canada,YYZ,MUC,2024-09-15,04:28,03:59,First,9.33,5352.84
Delta,FRA,YYZ,2024-09-16,22:02,04:42,First,10.47,377.45
Delta,ATL,JFK,2024-09-14,21:03,15:25,First,1.3,3137.12
Delta,ATL,LAX,2024-09-12,19:56,00:29,Economy,2.06,1630.89
Air Canada,ORD,ATL,2024-09-16,13:33,07:54,Business,7.36,3498.35
Lufthansa,LAX,JFK,2024-09-16,04:31,07:51,Business,3.44,3062.9
Air Canada,FRA,LAX,2024-09-12,00:44,14:59,Business,7.73,3876.42
Lufthansa,ATL,DFW,2024-09-14,18:06,03:39,First,1.1,405.14
Lufthansa,YYZ,ATL,2024-09-13,19:23,00:12,Economy,3.13,2042.69
American Airlines,MUC,YYZ,2024-09-15,18:36,13:29,Business,4.94,3793.13
United,DFW,ORD,2024-09-15,16:42,03:12,Business,7.71,1463.81
Delta,FRA,DFW,2024-09-18,18:31,10:36,Business,6.54,1048.36
American Airlines,YYZ,FRA,2024-09-12,12:44,05:18,First,8.06,2475.67
United,MUC,YVR,2024-09-18,13:51,23:02,Business,4.94,2901.66
Air Canada,YVR,SFO,2024-09-16,21:14,23:31,Economy,7.87,1286.39
Air Canada,FRA,YYZ,2024-09-17,20:59,02:38,Economy,8.46,152.77
American Airlines,DFW,ATL,2024-09-15,13:50,19:08,Economy,8.84,1130.01
American Airlines,ATL,MUC,2024-09-13,18:27,04:31,Economy,8.59,1437.07
Lufthansa,LAX,YYZ,2024-09-13,12:38,12:27,Economy,11.6,2155.44
Air Canada,YYZ,ORD,2024-09-17,22:59,11:32,Business,7.25,2508.33
United,YVR,ORD,2024-09-18,19:04,03:29,First,2.26,1406.55
Lufthansa,ORD,YVR,2024-09-16,22:15,16:48,First,9.65,3779.07
American Airlines,ATL,SFO,2024-09-16,00:01,17:43,First,2.72,748.18
American Airlines,DFW,ATL,2024-09-15,03:56,00:21,First,8.67,1029.87
Air Canada,ORD,JFK,2024-09-13,04:48,20:44,First,6.72,4113.7
Air Canada,JFK,MUC,2024-09-15,16:41,06:18,Economy,10.36,243.05
United,YYZ,ATL,2024-09-15,23:09,03:51,Business,2.91,963.92
United,YVR,YYZ,2024-09-14,14:28,21:53,First,1.73,4328.57
Air Canada,YYZ,JFK,2024-09-18,19:42,03:17,First,3.85,3164.66
Lufthansa,ORD,LAX,2024-09-12,10:06,18:54,First,1.4,2931.14
Air Canada,ORD,MUC,2024-09-17,11:55,07:52,First,7.76,1841.53
Air Canada,SFO,ORD,2024-09-12,02:50,07:45,Economy,4.61,104.15
American Airlines,LAX,ORD,2024-09-15,03:47,09:54,Business,6.94,1731.5
Air Canada,MUC,ATL,2024-09-17,08:24,21:20,Business,3.18,405.76
United,LAX,YYZ,2024-09-15,10:39,07:43,First,6.69,3929.28
United,YVR,FRA,2024-09-16,23:26,06:19,Economy,1.11,1585.51
Air Canada,DFW,FRA,2024-09-13,17:49,16:05,Economy,5.72,120.36
American Airlines,LAX,ATL,2024-09-15,23:16,02:49,Business,8.37,985.79
American Airlines,YVR,LAX,2024-09-13,06:51,23:26,First,11.59,2711.01
Air Canada,DFW,ATL,2024-09-17,20:59,09:21,Economy,8.21,547.15
Delta,SFO,YVR,2024-09-12,15:06,22:17,Business,4.19,2778.79
Lufthansa,SFO,JFK,2024-09-13,11:42,02:20,Economy,10.18,1413.42
Delta,DFW,YYZ,2024-09-16,19:29,21:17,First,10.35,2763.08
American Airlines,YVR,ORD,2024-09-12,12:35,23:32,First,2.8,1430.73
Delta,SFO,JFK,2024-09-16,07:02,04:50,Business,9.61,3743.15
Air Canada,ATL,DFW,2024-09-15,19:31,17:45,Business,9.0,3830.51
Lufthansa,JFK,SFO,2024-09-18,22:45,15:19,Business,2.09,3383.46
Delta,YYZ,JFK,2024-09-15,22:34,19:14,Economy,4.4,609.32
Air Canada,FRA,SFO,2024-09-12,19:53,01:18,First,9.3,4928.13
American Airlines,DFW,SFO,2024-09-12,16:00,23:34,Business,4.35,1476.71
Air Canada,MUC,YVR,2024-09-12,07:52,06:11,Business,2.56,712.98
Lufthansa,ATL,FRA,2024-09-18,19:05,04:38,Economy,10.26,260.42
Air Canada,LAX,DFW,2024-09-15,06:16,17:30,First,10.24,1317.97
Air Canada,JFK,MUC,2024-09-13,13:32,19:46,Business,4.23,3336.52
Delta,YYZ,YVR,2024-09-16,07:42,09:26,Economy,1.26,1969.67
United,YVR,ORD,2024-09-15,09:59,04:16,First,2.42,3500.87
United,YVR,JFK,2024-09-12,09:20,23:56,Economy,7.51,1418.48
Lufthansa,FRA,SFO,2024-09-14,08:10,05:47,First,7.15,3549.56
United,YYZ,JFK,2024-09-17,09:42,03:04,Business,7.31,2482.01
American Airlines,LAX,JFK,2024-09-12,05:40,11:21,Economy,3.78,1357.13
Lufthansa,DFW,ATL,2024-09-18,15:19,07:35,Business,9.85,2634.25
Delta,SFO,ORD,2024-09-18,02:51,02:42,Business,2.37,641.78
Delta,ATL,DFW,2024-09-18,15:26,14:29,Business,3.61,2673.51
Lufthansa,ATL,LAX,2024-09-16,03:52,15:35,Economy,3.14,1072.79
American Airlines,YYZ,JFK,2024-09-14,07:15,09:43,First,4.66,5926.45
Lufthansa,MUC,ATL,2024-09-13,04:41,23:09,First,4.25,1739.63
American Airlines,FRA,MUC,2024-09-17,04:26,06:17,First,4.86,4057.7
Air Canada,YVR,ORD,2024-09-15,19:35,23:49,First,6.38,4013.14
Lufthansa,YYZ,JFK,2024-09-14,04:07,03:57,Economy,2.86,1357.09
United,YYZ,LAX,2024-09-16,21:05,07:22,Business,2.2,1643.06
Air Canada,DFW,LAX,2024-09-17,04:36,07:57,Business,11.88,2898.06
Lufthansa,ATL,YVR,2024-09-17,06:56,22:04,Economy,4.45,1841.65
United,JFK,FRA,2024-09-18,17:16,01:23,Economy,8.45,754.47
United,FRA,MUC,2024-09-12,10:32,06:30,First,7.43,4105.79
